,Random Ingredients,Recipe Title,Ingredient Phrases,Recipe Instructions,Recipe Titile
2940,"cornbread stuffing mix,lobster meat,turkey,almond",," 3 cups chicken stock | 1 cup turkey bacon, chopped | 1/2 - 1 teaspoon red pepper flakes | 1/2 cup chopped carrots | 2 -3 garlic cloves, minced | 5 medium potatoes, peeled and cubed | 4 carrots, coarsely chopped | 3 celery, coarsely chopped | 1 cup tomato | 2 lemons, juice of | 10 ounces baked sweetcornbread stuffing mix | 2 egg whites | 2 tablespoons olive oil | 2 cups chicken | salt | 3 -4 crushed red pepper flakes "," heat 1 tablespoon olive oil in a large skillet over medium high heat.  add chicken and brown on all sides over both sides approximately 10 minutes.  unmold.  add potatoes to skillet.  cook and stir until potatoes are browned about 5 minutes, add carrots, celery, tomato, lemon juice and potatoes.  cook for 5 minutes.  whisk the stuffing mix, egg whites and 1 cup of the chicken stock until well blended.  return vegetables to skillet and cook for 15 to 20 minute.  season, stirring well to combine.  return vegetables to skillet and cook until tender.  remove from heat and stir in egg whites and remaining stock.  season to taste.  spoon meatballs all over the skillet, and sprinkle with salt.  bake at 375 for 3540 minutes or until golden brown.  serve with sweetcornbread. 


",Italian Meatballs
2941,"apricot half,cider vinegar",," 8 slices smoked apricots, halved lengthwise and separated by thick ends | 8 tablespoons unsalted butter | 6 eggs | sour cream | 1 pint sour cream | 1/4 cup cider vinegar "," lightly heat a 5 or 6quart ovenproof dish coated with cooking spray on bottom of a 9inch, 5inch cast iron pan over medium high heat.  in the dish, melt the butter over low heat.  remove from the pan, set aside, and keep warm.  meanwhile in a large skillet, melt the remaining butter until melted.  remove from heat.  beat the eggs with 12 cup of the butter.  beat the sour cream into the dry ingredients.  in another saucepan, over medium heat, bring the mixture to a boil.  stir in the cider vinegar and return the mixture to a boil.  reduce heat and whisk with a fork.  stir in the apricots, the sour cream, and the reserved apricot juice.  bring the mixture to a boil, cover the pan, and reduce the heat to medium low.  cook the mixture for 1 to 2 minutes, or until slightly thickened.  serve immediately, with the sour cream, sour cream, and the reserved apricot juice. 


",Traditional Apricot French Toast
2942,"bread machine yeast,jalapeno pepper,dark rum,italian plum tomato,purpose white flour,swiss cheese,cake flour",," 3/4 cup all-purpose white flour | 1/2 teaspoon baking powder | 1 egg | 2 teaspoons sugar | 1 teaspoon baking soda | 1 tablespoon lite lemon zest | 1 teaspoon kosher salt | 4 teaspoons white wine | 1 cup sliced blueberries | 4 ounces sliced swiss cheese ( or other sharp cheese, cut into slices ) | 1 cup sliced fresh italian plum tomatoes or 1 cup sliced fresh green tomatoes | 1 teaspoon lemon zest | 1 jalapeno pepper, seeded and minced ( or white pepper ) | 1 teaspoon kosher salt | 1/2 cup heavy whipping cream | 1 1/2 cups bread machine yeast "," for the crusts and bread machine dough combine all ingredients and set aside.  combine the blueberries with the cheeses and tomatoes and pulse to incorporate them.  place the bread machine for dough in the bowl of a mixer fitted with an attachment attachment attachment for the dough to be formed, cover it with cling film and allow the machine to rest for 10 minutes to chill.  punch down the dough in a patty, roll out into an 8 inch loaf.  cover the loaf with the loaf with a damp cloth and let it rest in a warm place until the crust has doubled in size, 20 to 25 minutes or to an hour.  preheat the oven to 375 degrees f.  cut the loaf diagonally into 24 equal slices.  arrange on a cookie sheet lined with parchment paper and allow them to cool for 15 min in a cool place before removing completely.  while the oven preheating, preheat the oven to 350 degrees f.  cut each slice diagonally into 8 wedges and place on the bottom of a 15 to 18 inch deep baking dish.  spoon the blueberries and swiss cheese slices on top of the blueberries and top the cheese slices with slices of tomato, a jalapeo pepper, salt, lime juice, zest, and a pinch of lemon zest.  bake for 20 to 25 minutes, until the cheeses have begun to crack and the crust is beginning to brown.  let cool and refrigerate for a few hours to allow the flavors to infuse and soften.  preheat the remaining oven to 375 degrees f.  cut each loaf into two equal slices and place in a 9 x 13inch baking dish.  spread each slice of bread with 12 tablespoon of the blueberries and sprinkle with half of the cheese, then half of the swiss cheese.  top each with another slice slice of bread and sprinkle with 13 of the jalapeo pepper and 1 teaspoon of the salt.  repeat layers ending with cheese and cheese, adding the remaining mozzarella and remaining blueberries, if using.  bake for 20 to 25 minutes until the top and edges are golden brown and the cheese is golden brown. 


",Tropical Blueberry Bread
2943,"ricotta salata,panko bread crumb,basil,tomato sauce,mango,caraway seed,mirin,chicken cutlet",," 2 1/4 lbs skinless, boneless chicken cutlets, skin side up | 1 cup dry white bread, day old | 6 tablespoons fresh chopped mint | 2 tablespoons fresh ground cayenne pepper | 3 garlic cloves, minced | 1 medium tomatoes, sliced into 1/2 inch slices | 1 tablespoon fresh lemon juice | 1 tablespoon cider vinegar | 1/4 cup tomato sauce | 1 teaspoon cayenne pepper | 2 tablespoons minced fresh basil | 1/2 cup ricotta salata | sliced mango "," preheat oven to 425f.  rinse under cold water several times to prevent soggy skin, pat dry with paper towels.  cut the chicken strips in half crosswise, removing some of the fat.  in a 12 inch skillet over medium heat, gently pour in enough water to reach 12 inch depth.  let boil for 5 minutes.  set aside.  sautee the onions in the same skillet over mediumhigh heat until tender, about 10 minutes.  add the garlic, tomatoes, lemon juice, vinegar, tomato sauce, cayenne pepper, basil, ricotta salata, and sliced chicken to the onion mixture.  bring to a boil, reduce the heat, and simmer 5 more minutes, or until the chicken is tender, stirring occasionally.  if using a glass serving dish that will hold the two vegetables, sprinkle with a generous sprinkling of parmesan cheese.  toss well to coat with the pesto, sprinkle with more parmesan, and serve. 


",Mango Chicken With Apricot Panko
2944,"stewing beef,almond extract,hot red pepper flake,cooking oat,spinach leaf",," 12 ounces stewing beef, thinly sliced | 7 ounces sliced spinach leaves | 1/2 tablespoon hot red pepper flakes | 1/4 cup quick-cooking oats | 1 1/2 cups cooked cooking oatmeal "," in large frying pan, cook beef with hot red pepper, oats, and cooking oats.  remove and set aside.  pour remaining 2 teaspoons cold oil or milk over beef.  cook until browned, stirring constantly.  reduce heat to mediumlow.  add spinach and hot red pepper flakes.  cook over medium slow simmer, stirring occasionally, until wilted and fragrant and thickened.  add cooked beef, stirring well.  cook and stir until heated through.  serve with mashed potatoes. 


",Stewy Red Pepper Beef With Spinach and Almonds
2945,"spanish onion,brown rice,cheddar cheese,egg noodle",," 4 ounces egg noodles ( i used brown rice with rice ) | 3 teaspoons vegetable oil or 3 teaspoons cooking spray | 1 green onion, thinly sliced | 1 cup shredded cheddar cheese | 1 1/2 cups brown rice or 1 1/2 cups shredded low-fat cheese | 2 fresh garlic cloves, coarsely chopped or 1/2 cup chopped shallot | 2 tablespoons sour cream or 2 teaspoons sour cream, divided "," in a dutch oven over low heat, heat oil or spray with cooking spray.  add green onion and cook 30 seconds or until green onion is limp.  add cooked egg noodles, stir well.  stir in cheese and garlic.  let stand for 5 minutes and then sprinkle with sour cream.  place 1 - 12 cups of the bean mixture in top of the noodles and top with remaining 12 cup of bean mixture.  cover and bake in the preheated oven approximately 45 minutes or until bubbly.  top with remaining cornstarch sauce and sprinkle with remaining cheese.  bake until bubbly, 30 to 40 minutes. 


",Easy Spanish Egg Noodle Casserole
2946,"vegetable broth,marjoram,chuck,red potato,double cream",," 1 1/2 lbs red potatoes, diced | 3/4 cup vegetable broth | 4 tablespoons sugar | 1 cup double cream | 2 tablespoons ground cinnamon | 1 teaspoon clove ( or ground cinnamon ) | 1/2 teaspoon nutmeg ( grated ) | 1 -2 teaspoon ground marjoram ( or ground nutmeg ) "," cut a hole in one side of potatoes and place on a rimmed baking sheet.  add water, sugar, and broth to water in pot.  cover pot and simmer for 1520 minutes or until liquid has evaporated and potatoes are tender and tender.  meanwhile, preheat oven to 300f put potatoes and broth into large pot and bring to a simmer.  cook covered until potatoes are tender and tender about 15 minutes.  remove pot from heat and keep covered for 20 minutes.  stir cream in with cream until smooth and heat through.  simmer for 5 minutes.  season generously to taste.  spoon cream into individual serving bowls and pour in nutmeg mixture. 


",Easy and Easy Swedish Dumplings
2947,"celery,bread white,sea salt,garam masala",, 1 cup plain yogurt | 1 1/2 teaspoons honey | 1 1/2 teaspoons ground allspice | 1 tablespoon ground coriander | 1/2 teaspoon ground turmeric | 1 teaspoon coriander | 1 teaspoon ground cloves | 1/2 teaspoon ground coriander | 1 1/2 teaspoons ground ginger | 1 1/2 teaspoons ground cumin | 1/4 teaspoon sea salt | 1/4 teaspoon grated fresh thyme ," taste for seasoning, add more seasonings before serving.  note the korma can also be served either with indian bread crumbs or as a side dish for indian basmati rice  i find that the yogurt is the best accompaniment for this.  note for the indian korma, combine all spices in a glass bowl and let it blend.  i use my finger  my hands to mix it into the liquid and then let sit for a minute.  mix the spices with the yogurt in a bowl, then turn into a sauce pan and boil gently over low heat until the spice is thickened and smooth.  set aside.  note i usually add a little water to the korma to give it flavour.  note for the indian korma, the salt required to make the yogurt smooth is 1 - 12 cups  i just added the salt as you would use a salt in your kitchen.  it is salty like that, but ive found that it tastes really good from a taste standpoint and is really worth it. 


",Spiced Indian Korma
2948,"ghee,salt black pepper,salad oil,button mushroom,vegetarian bean,pork shoulder,pasta,stewing beef",," 8 ounces lean ground beef | 2 teaspoons smoked paprika | 1/2 cup vegetable oil for frying | 1 cup thinly sliced button mushroom | 1 lb flank steaks, cut in 4 inch pieces | 1/2 cup low-fat dry pasta, cooked, rinsed ( pasta vermicelli, or any similar pasta to your own ) | 2 tablespoons salad oil | salt & freshly ground black pepper "," brown the beef and pork in the same pan on medraim medium heat.  drain the fat and add the paprika as a seasoning.  cook the meatballs in batches in the pan with some of the meat sauce.  add the mushrooms and cook over medium heat until they become soft, about 10 to 15 minutes.  add the pasta and season with salt and pepper, and heat through. 


",Fried Meatballs from Borscht
2949,"new mexico chile,gouda cheese,cooking spray,dumpling wrapper,flour tortilla,linguine,egg noodle,mexican cheese",," 12 ounces linguine | cooking spray | 1 box egg noodles | 1 1/4 lbs chicken drumsticks, cooked and shredded | 2 tablespoons grated gouda cheese | 2 tablespoons cheddar cheese | 1 tablespoon mexican blend cheese blend | 6 flour tortillas, warmed | 1 carton cream cheese, whipped | 1/2 cup shredded mozzarella cheese, divided "," cook pasta according to package directions.  place in a large pot of boiling water.  drain, reserving about 1 cup of liquid.  rinse  drain noodles.  rinse the chicken drumsticks well.  dice chicken, reserving some of the liquid.  heat egg noodles in a medium saucepan over medium heat until just cooked through.  drain and rinse chicken in warm water.  rinse, remove and discard paper towels.  heat 2 lg of vegetable oil in a small skillet, saut chicken drumstick until golden brown on all sides.  add cheese cheese to the skillet and cook, stirring constantly until cheese is melted.  drain noodles, reserving 3 cups of liquid.  place 13 of the noodles in a 9x13inch pan.  repeat layers and add 14 of the cooked pasta.  pour 14 of sauce over noodles, then the remaining 1 - 12 cups of sauce and 12 cup water.  heat to 350 degrees.  cover and simmer 2025 minutes or until sauce is thickened. 


",Baked Noodle Enchilada Casserole
2950,"angel hair pasta,vanilla extract,pesto sauce,pancetta,purpose flour,green olive",," 2/3 cup all-purpose flour | 1 teaspoon white sugar | 1 package pancetta, diced | 1/4 cup chopped green olives | 1 cup chopped green olives | 3 drops flavor of your choice flavoring | 2 pinches paprika "," place flour, sugar, pancetta, green olives, olives and green olives in large mixing bowl.  stir to combine.  place 1 teaspoon vegetable flavor flavoring in small bowl, mix in 2 drops paprika, and fold into batter.  form into a pancake, turn several times, and shape once more.  heat oil over medium heat.  place pancake onto oiled oiled oiled oiled oiled oiled hot pan.  cook until crispy.  remove to a paper towel or plate to cool, and serve. 


",Italian Pancetta Pancake
